source,year,state,total_activities,sdg_1_coverage,sdg_1_name,sdg_2_coverage,sdg_2_name,sdg_3_coverage,sdg_3_name,sdg_4_coverage,sdg_4_name,sdg_5_coverage,sdg_5_name,sdg_6_coverage,sdg_6_name,sdg_7_coverage,sdg_7_name,sdg_8_coverage,sdg_8_name,sdg_9_coverage,sdg_9_name,sdg_10_coverage,sdg_10_name,sdg_11_coverage,sdg_11_name,sdg_12_coverage,sdg_12_name,sdg_13_coverage,sdg_13_name,sdg_14_coverage,sdg_14_name,sdg_15_coverage,sdg_15_name,sdg_16_coverage,sdg_16_name,sdg_17_coverage,sdg_17_name
NSW_Bellingen_Rural_2023,2023,NSW,4,0.0,No Poverty,0.0,Zero Hunger,1.0,Good Health and Well-being,0.0,Quality Education,0.0,Gender Equality,0.0,Clean Water and Sanitation,0.0,Affordable and Clean Energy,0.75,Decent Work and Economic Growth,0.25,"Industry, Innovation and Infrastructure",0.0,Reduced Inequalities,0.75,Sustainable Cities and Communities,0.0,Responsible Consumption and Production,0.5,Climate Action,0.0,Life Below Water,0.0,Life on Land,0.25,"Peace, Justice and Strong Institutions",0.0,Partnerships for the Goals
NSW_Ballina_Urban_2023,2023,NSW,8,0.125,No Poverty,0.0,Zero Hunger,0.75,Good Health and Well-being,0.0,Quality Education,0.125,Gender Equality,0.0,Clean Water and Sanitation,0.25,Affordable and Clean Energy,0.875,Decent Work and Economic Growth,0.125,"Industry, Innovation and Infrastructure",0.0,Reduced Inequalities,0.5,Sustainable Cities and Communities,0.0,Responsible Consumption and Production,0.5,Climate Action,0.125,Life Below Water,0.125,Life on Land,0.75,"Peace, Justice and Strong Institutions",0.0,Partnerships for the Goals
NSW_Balranald_Rural_2023,2023,NSW,43,0.0698,No Poverty,0.0233,Zero Hunger,0.5349,Good Health and Well-being,0.0465,Quality Education,0.0233,Gender Equality,0.1163,Clean Water and Sanitation,0.0465,Affordable and Clean Energy,0.7907,Decent Work and Economic Growth,0.093,"Industry, Innovation and Infrastructure",0.0,Reduced Inequalities,0.3953,Sustainable Cities and Communities,0.0233,Responsible Consumption and Production,0.2326,Climate Action,0.0,Life Below Water,0.1163,Life on Land,0.3488,"Peace, Justice and Strong Institutions",0.0465,Partnerships for the Goals
NSW_Bathurst_Urban_2023,2023,NSW,30,0.0667,No Poverty,0.0,Zero Hunger,0.5,Good Health and Well-being,0.1333,Quality Education,0.0,Gender Equality,0.1333,Clean Water and Sanitation,0.1,Affordable and Clean Energy,0.5667,Decent Work and Economic Growth,0.0333,"Industry, Innovation and Infrastructure",0.0,Reduced Inequalities,0.3333,Sustainable Cities and Communities,0.1333,Responsible Consumption and Production,0.2667,Climate Action,0.0,Life Below Water,0.2333,Life on Land,0.0667,"Peace, Justice and Strong Institutions",0.0,Partnerships for the Goals
NSW_Bland_Rural_2023,2023,NSW,7,0.1429,No Poverty,0.1429,Zero Hunger,0.7143,Good Health and Well-being,0.0,Quality Education,0.0,Gender Equality,0.1429,Clean Water and Sanitation,0.0,Affordable and Clean Energy,0.8571,Decent Work and Economic Growth,0.0,"Industry, Innovation and Infrastructure",0.0,Reduced Inequalities,0.7143,Sustainable Cities and Communities,0.0,Responsible Consumption and Production,0.0,Climate Action,0.0,Life Below Water,0.1429,Life on Land,0.5714,"Peace, Justice and Strong Institutions",0.1429,Partnerships for the Goals
NSW_Albury_Urban_2023,2023,NSW,62,0.0323,No Poverty,0.0,Zero Hunger,0.5645,Good Health and Well-being,0.0968,Quality Education,0.0,Gender Equality,0.0484,Clean Water and Sanitation,0.1129,Affordable and Clean Energy,0.6129,Decent Work and Economic Growth,0.2097,"Industry, Innovation and Infrastructure",0.0,Reduced Inequalities,0.4194,Sustainable Cities and Communities,0.0484,Responsible Consumption and Production,0.2097,Climate Action,0.0,Life Below Water,0.0806,Life on Land,0.1613,"Peace, Justice and Strong Institutions",0.0,Partnerships for the Goals
NSW_Blayney_Rural_2023,2023,NSW,23,0.0435,No Poverty,0.0,Zero Hunger,0.5652,Good Health and Well-being,0.0435,Quality Education,0.0,Gender Equality,0.1739,Clean Water and Sanitation,0.087,Affordable and Clean Energy,0.7391,Decent Work and Economic Growth,0.1739,"Industry, Innovation and Infrastructure",0.1739,Reduced Inequalities,0.4783,Sustainable Cities and Communities,0.0,Responsible Consumption and Production,0.1304,Climate Action,0.0,Life Below Water,0.0,Life on Land,0.3913,"Peace, Justice and Strong Institutions",0.0,Partnerships for the Goals
NSW_Bogan_Rural_2023,2023,NSW,12,0.1667,No Poverty,0.0,Zero Hunger,0.4167,Good Health and Well-being,0.0,Quality Education,0.0833,Gender Equality,0.1667,Clean Water and Sanitation,0.0,Affordable and Clean Energy,0.5,Decent Work and Economic Growth,0.0,"Industry, Innovation and Infrastructure",0.0,Reduced Inequalities,0.6667,Sustainable Cities and Communities,0.0,Responsible Consumption and Production,0.1667,Climate Action,0.0,Life Below Water,0.1667,Life on Land,0.4167,"Peace, Justice and Strong Institutions",0.0,Partnerships for the Goals
NSW_Berrigan_Rural_2023,2023,NSW,63,0.0317,No Poverty,0.0,Zero Hunger,0.5079,Good Health and Well-being,0.0635,Quality Education,0.0159,Gender Equality,0.0635,Clean Water and Sanitation,0.0159,Affordable and Clean Energy,0.6984,Decent Work and Economic Growth,0.127,"Industry, Innovation and Infrastructure",0.0159,Reduced Inequalities,0.3651,Sustainable Cities and Communities,0.0794,Responsible Consumption and Production,0.1111,Climate Action,0.0159,Life Below Water,0.0317,Life on Land,0.4444,"Peace, Justice and Strong Institutions",0.0317,Partnerships for the Goals
NSW_Bayside_Urban_2023,2023,NSW,93,0.0323,No Poverty,0.0,Zero Hunger,0.7097,Good Health and Well-being,0.1613,Quality Education,0.0108,Gender Equality,0.086,Clean Water and Sanitation,0.0215,Affordable and Clean Energy,0.7849,Decent Work and Economic Growth,0.0645,"Industry, Innovation and Infrastructure",0.0,Reduced Inequalities,0.6667,Sustainable Cities and Communities,0.0753,Responsible Consumption and Production,0.1935,Climate Action,0.043,Life Below Water,0.0968,Life on Land,0.4301,"Peace, Justice and Strong Institutions",0.043,Partnerships for the Goals
