filename,path,state,council,year,has_financial_statements,financial_heading,financial_page,total_pages,total_chars
VIC_Murrindindi_Rural_2025.pdf,2025/VIC/VIC_Murrindindi_Rural_2025.pdf,VIC,Murrindindi,2025,True,financial statements,66.0,108,322200
VIC_Yarra_Urban_2025.pdf,2025/VIC/VIC_Yarra_Urban_2025.pdf,VIC,Yarra,2025,True,financial statements,32.0,280,388416
VIC_Brimbank_Urban_2025.pdf,2025/VIC/VIC_Brimbank_Urban_2025.pdf,VIC,Brimbank,2025,True,notes to financial statements,152.0,210,453018
VIC_West Wimmera_Rural_2025.pdf,2025/VIC/VIC_West Wimmera_Rural_2025.pdf,VIC,West Wimmera,2025,True,financial statements,4.0,169,313279
VIC_Latrobe_Urban_2025.pdf,2025/VIC/VIC_Latrobe_Urban_2025.pdf,VIC,Latrobe,2025,True,statement of changes in equity,35.0,67,269939
VIC_Mount Alexander_Urban_2025.pdf,2025/VIC/VIC_Mount Alexander_Urban_2025.pdf,VIC,Mount Alexander,2025,True,statement of cash flows,116.0,164,331325
VIC_Bass Coast_Urban_2025.pdf,2025/VIC/VIC_Bass Coast_Urban_2025.pdf,VIC,Bass Coast,2025,True,financial statements,45.0,93,315747
VIC_Corangamite_Rural_2025.pdf,2025/VIC/VIC_Corangamite_Rural_2025.pdf,VIC,Corangamite,2025,True,financial statements,98.0,158,285248
VIC_Hepburn_Rural_2025.pdf,2025/VIC/VIC_Hepburn_Rural_2025.pdf,VIC,Hepburn,2025,True,financial statements,121.0,191,408285
VIC_Moonee Valley_Urban_2025.pdf,2025/VIC/VIC_Moonee Valley_Urban_2025.pdf,VIC,Moonee Valley,2025,True,statement of changes in equity,157.0,259,358740
VIC_Alpine_Rural_2025.pdf,2025/VIC/VIC_Alpine_Rural_2025.pdf,VIC,Alpine,2025,True,financial statements,5.0,158,346750
VIC_Cardinia_Urban_2025.pdf,2025/VIC/VIC_Cardinia_Urban_2025.pdf,VIC,Cardinia,2025,True,financial statements,3.0,181,350732
VIC_Northern Grampians_Rural_2025.pdf,2025/VIC/VIC_Northern Grampians_Rural_2025.pdf,VIC,Northern Grampians,2025,True,financial statements,3.0,180,370814
VIC_Buloke_Rural_2025.pdf,2025/VIC/VIC_Buloke_Rural_2025.pdf,VIC,Buloke,2025,True,financial statements,59.0,132,245176
VIC_Moyne_Rural_2025.pdf,2025/VIC/VIC_Moyne_Rural_2025.pdf,VIC,Moyne,2025,True,financial statements,60.0,132,151472
VIC_Baw Baw_Urban_2025.pdf,2025/VIC/VIC_Baw Baw_Urban_2025.pdf,VIC,Baw Baw,2025,True,financial statements,2.0,82,342567
VIC_Horsham_Urban_2025.pdf,2025/VIC/VIC_Horsham_Urban_2025.pdf,VIC,Horsham,2025,True,financial statements,46.0,73,335971
VIC_Glen Eira_Urban_2025.pdf,2025/VIC/VIC_Glen Eira_Urban_2025.pdf,VIC,Glen Eira,2025,True,financial statements,138.0,224,430128
VIC_Casey_Urban_2025.pdf,2025/VIC/VIC_Casey_Urban_2025.pdf,VIC,Casey,2025,True,financial statements,84.0,116,438534
VIC_Nillumbik_Urban_2025.pdf,2025/VIC/VIC_Nillumbik_Urban_2025.pdf,VIC,Nillumbik,2025,True,financial statements,212.0,296,615165
VIC_Hobsons Bay_Urban_2025.pdf,2025/VIC/VIC_Hobsons Bay_Urban_2025.pdf,VIC,Hobsons Bay,2025,False,,,128,263634
VIC_Indigo_Rural_2025.pdf,2025/VIC/VIC_Indigo_Rural_2025.pdf,VIC,Indigo,2025,True,financial statements,42.0,82,261832
VIC_Darebin_Urban_2025.pdf,2025/VIC/VIC_Darebin_Urban_2025.pdf,VIC,Darebin,2025,True,certified financial statements,142.0,238,353389
VIC_Macedon Ranges_Urban_2025.pdf,2025/VIC/VIC_Macedon Ranges_Urban_2025.pdf,VIC,Macedon Ranges,2025,True,statement of changes in equity,144.0,212,438604
VIC_Maribyrnong_Urban_2025.pdf,2025/VIC/VIC_Maribyrnong_Urban_2025.pdf,VIC,Maribyrnong,2025,True,financial statements,184.0,258,487892
VIC_Hindmarsh_Rural_2025.pdf,2025/VIC/VIC_Hindmarsh_Rural_2025.pdf,VIC,Hindmarsh,2025,True,financial statements,121.0,198,191760
VIC_Wodonga_Urban_2025.pdf,2025/VIC/VIC_Wodonga_Urban_2025.pdf,VIC,Wodonga,2025,True,financial statements,87.0,148,332557
VIC_Central Goldfields_Rural_2025.pdf,2025/VIC/VIC_Central Goldfields_Rural_2025.pdf,VIC,Central Goldfields,2025,True,financial statements,2.0,75,293047
VIC_Surf Coast_Urban_2025.pdf,2025/VIC/VIC_Surf Coast_Urban_2025.pdf,VIC,Surf Coast,2025,True,financial statements,6.0,195,343380
VIC_Loddon_Rural_2025.pdf,2025/VIC/VIC_Loddon_Rural_2025.pdf,VIC,Loddon,2025,True,financial statements,130.0,137,258092
VIC_Glenelg_Urban_2025.pdf,2025/VIC/VIC_Glenelg_Urban_2025.pdf,VIC,Glenelg,2025,True,financial statements,98.0,153,321210
VIC_Merri Bek_Urban_2025.pdf,2025/VIC/VIC_Merri Bek_Urban_2025.pdf,VIC,Merri Bek,2025,True,statement of changes in equity,153.0,211,436226
VIC_Ballarat_Urban_2025.pdf,2025/VIC/VIC_Ballarat_Urban_2025.pdf,VIC,Ballarat,2025,True,financial statements,2.0,156,305528
VIC_Monash_Urban_2025.pdf,2025/VIC/VIC_Monash_Urban_2025.pdf,VIC,Monash,2025,True,financial statements,162.0,228,366654
VIC_Yarriambiack_Rural_2025.pdf,2025/VIC/VIC_Yarriambiack_Rural_2025.pdf,VIC,Yarriambiack,2025,True,notes to the financial statements,102.0,156,332860
VIC_Whittlesea_Urban_2025.pdf,2025/VIC/VIC_Whittlesea_Urban_2025.pdf,VIC,Whittlesea,2025,True,financial statements,5.0,141,539825
VIC_Southern Grampians_Rural_2025.pdf,2025/VIC/VIC_Southern Grampians_Rural_2025.pdf,VIC,Southern Grampians,2025,True,statement of cash flows,25.0,169,307169
VIC_Melbourne_Urban_2025.pdf,2025/VIC/VIC_Melbourne_Urban_2025.pdf,VIC,Melbourne,2025,True,financial statements,224.0,338,587097
VIC_Hume_Urban_2025.pdf,2025/VIC/VIC_Hume_Urban_2025.pdf,VIC,Hume,2025,True,financial statement,94.0,182,348931
VIC_Towong_Rural_2025.pdf,2025/VIC/VIC_Towong_Rural_2025.pdf,VIC,Towong,2025,True,financial statements,64.0,149,307192
VIC_Strathbogie_Rural_2025.pdf,2025/VIC/VIC_Strathbogie_Rural_2025.pdf,VIC,Strathbogie,2025,True,statement of changes in equity,3.0,152,336185
VIC_Shepparton_Urban_2025.pdf,2025/VIC/VIC_Shepparton_Urban_2025.pdf,VIC,Shepparton,2025,True,financial statements,3.0,214,342558
VIC_Boroondara_Urban_2025.pdf,2025/VIC/VIC_Boroondara_Urban_2025.pdf,VIC,Boroondara,2025,True,financial statements,3.0,256,447348
VIC_Ararat_Rural_2025.pdf,2025/VIC/VIC_Ararat_Rural_2025.pdf,VIC,Ararat,2025,True,notes to the financial statements,2.0,70,153619
VIC_Colac Otway_Urban_2025.pdf,2025/VIC/VIC_Colac Otway_Urban_2025.pdf,VIC,Colac Otway,2025,True,financial statements,6.0,168,347805
VIC_Bayside_Urban_2025.pdf,2025/VIC/VIC_Bayside_Urban_2025.pdf,VIC,Bayside,2025,True,financial statements,104.0,188,343922
VIC_Wellington_Urban_2025.pdf,2025/VIC/VIC_Wellington_Urban_2025.pdf,VIC,Wellington,2025,True,financial statements,146.0,209,437357
VIC_Bendigo_Urban_2025.pdf,2025/VIC/VIC_Bendigo_Urban_2025.pdf,VIC,Bendigo,2025,True,financial statements,3.0,172,318529
VIC_Melton_Urban_2025.pdf,2025/VIC/VIC_Melton_Urban_2025.pdf,VIC,Melton,2025,True,financial statements,67.0,96,404081
VIC_Maroondah_Urban_2025.pdf,2025/VIC/VIC_Maroondah_Urban_2025.pdf,VIC,Maroondah,2025,True,financial statements,176.0,280,597735
VIC_Gannawarra_Rural_2025.pdf,2025/VIC/VIC_Gannawarra_Rural_2025.pdf,VIC,Gannawarra,2025,True,financial statements,70.0,140,312061
VIC_Yarra Ranges_Urban_2025.pdf,2025/VIC/VIC_Yarra Ranges_Urban_2025.pdf,VIC,Yarra Ranges,2025,False,,,88,135441
VIC_Moorabool_Urban_2025.pdf,2025/VIC/VIC_Moorabool_Urban_2025.pdf,VIC,Moorabool,2025,True,statement of changes in equity,83.0,146,253306
VIC_Warrnambool_Urban_2025.pdf,2025/VIC/VIC_Warrnambool_Urban_2025.pdf,VIC,Warrnambool,2025,True,financial statements,92.0,153,292176
VIC_Moira_Urban_2025.pdf,2025/VIC/VIC_Moira_Urban_2025.pdf,VIC,Moira,2025,True,statement of changes in equity,3.0,156,340807
VIC_Port Phillip_Urban_2025.pdf,2025/VIC/VIC_Port Phillip_Urban_2025.pdf,VIC,Port Phillip,2025,True,statement of changes in equity,245.0,343,723215
VIC_Golden Plains_Urban_2025.pdf,2025/VIC/VIC_Golden Plains_Urban_2025.pdf,VIC,Golden Plains,2025,True,financial statements,16.0,172,347690
VIC_Pyrenees_Rural_2025.pdf,2025/VIC/VIC_Pyrenees_Rural_2025.pdf,VIC,Pyrenees,2025,True,financial statements,100.0,204,399898
VIC_Knox_Urban_2025.pdf,2025/VIC/VIC_Knox_Urban_2025.pdf,VIC,Knox,2025,True,financial statements,14.0,218,375553
VIC_Queenscliffe_Urban_2025.pdf,2025/VIC/VIC_Queenscliffe_Urban_2025.pdf,VIC,Queenscliffe,2025,True,financial statements,5.0,164,351672
VIC_Campaspe_Urban_2025.pdf,2025/VIC/VIC_Campaspe_Urban_2025.pdf,VIC,Campaspe,2025,True,financial statements,95.0,184,328533
VIC_Mornington Peninsula_Urban_2025.pdf,2025/VIC/VIC_Mornington Peninsula_Urban_2025.pdf,VIC,Mornington Peninsula,2025,True,financial statements,84.0,132,457522
VIC_Mildura_Urban_2025.pdf,2025/VIC/VIC_Mildura_Urban_2025.pdf,VIC,Mildura,2025,True,financial statements,118.0,225,208072
VIC_Swan Hill_Urban_2025.pdf,2025/VIC/VIC_Swan Hill_Urban_2025.pdf,VIC,Swan Hill,2025,True,financial statements,4.0,187,340356
